Id,Type,Label,X,Y
"Ribera del Guadaira-Ayto","Park_zone","Ribera del Guadaira-Ayto   ",-8.99515189118684,10.909630901037978
"Guadalquivir-Ayto","Park_zone","Guadalquivir-Ayto   ",-14.92957779586385,3.245956967070928
"Valle-Ayto","Park_zone","Valle-Ayto   ",-12.868312769595956,-7.163886513723355
"Norte-Ayto","Park_zone","Norte-Ayto   ",-19.89830732943356,-0.3670218813862217
"Guadaira","Park_zone","Guadaira   ",-11.12986369124264,9.536792427776739
"Perdigones","Park_zone","Perdigones   ",9.590528507927354,-5.032628039956166
"Cristina-Ayto","Park_zone","Cristina-Ayto   ",-17.950621229227686,6.974311221851605
"Alcosa-Ayto","Park_zone","Alcosa-Ayto   ",-6.401879964299304,-10.807679792828178
"María Luisa","Park_zone","María Luisa   ",-11.089727738475984,-9.044490586334582
"Calles de Sevilla-Ayto","Park_zone","Calles de Sevilla-Ayto   ",0.8090806483559553,-10.939182867397472
"Tamarguillo-Ayto","Park_zone","Tamarguillo-Ayto   ",3.499453558742156,10.68043826067244
"Real Alcázar","Park_zone","Real Alcázar   ",10.551592421129845,0.047108972461585366
"Europeo-Mediterráneo","Origin","Europeo-Mediterráneo   ",-0.5827113386049323,-0.10297071111367762
"Americano","Origin","Americano   ",-2.472142254585691,-0.13336441271754335
"Rey JCI-Torneo-Ayto","Park_zone","Rey JCI-Torneo-Ayto   ",7.775960932271914,8.453487565956797
"Santa Clara-Don Fadrique","Park_zone","Santa Clara-Don Fadrique   ",-19.7641365212522,-4.200564663240298
"Los Príncipes-Ayto","Park_zone","Los Príncipes-Ayto   ",7.986139584611682,-7.970388672569003
"Miraflores-Ayto","Park_zone","Miraflores-Ayto   ",-14.235233666772677,-5.018477896135568
"CEIP Vélez de Guevara","Park_zone","CEIP Vélez de Guevara   ",19.54031749976349,-5.305369590642307
"Casino","Park_zone","Casino   ",0.5759311827327445,10.892055530703235
"El Turruñuelo-Ayto","Park_zone","El Turruñuelo-Ayto   ",14.180216344058602,-6.8261780436414075
"San Jerónimo-Ayto","Park_zone","San Jerónimo-Ayto   ",13.630230506461858,8.482660604140474
"Amate-Ayto","Park_zone","Amate-Ayto   ",9.544935007979378,5.358095632995622
"Amate","Park_zone","Amate   ",-15.093855670048281,-2.482686015638761
"Oceanía","Origin","Oceanía   ",-0.17454555386814682,0.9200569648711084
"Buhaira-Ayto","Park_zone","Buhaira-Ayto   ",15.835416381864714,-2.647815537806187
"Catalina de Ribera-Ayto","Park_zone","Catalina de Ribera-Ayto   ",-14.021735719750529,5.775739721769452
"Barranco-Colón-Ayto","Park_zone","Barranco-Colón-Ayto   ",5.964661424813091,-9.887931617199897
"Americano-Ayto","Park_zone","Americano-Ayto   ",-19.818476355204552,2.6144356544711678
"Africano","Origin","Africano   ",-4.606147147639847,0.08801367746774964
"Bermejales-Ayto","Park_zone","Bermejales-Ayto   ",-12.78470172372304,7.846619990543567
"Plaza Nueva-Ayto","Park_zone","Plaza Nueva-Ayto   ",19.81692177718301,-10.633643177569287
"Celestino Mutis-Ayto","Park_zone","Celestino Mutis-Ayto   ",15.275571076222692,4.438743713960746
"Prado-Ayto","Park_zone","Prado-Ayto   ",16.401485315165626,0.479900476873985
"CEIP San José Obrero","Park_zone","CEIP San José Obrero   ",19.191180045393544,7.549063804562608
"Infanta Elena-Ayto","Park_zone","Infanta Elena-Ayto   ",-3.132008293490479,-10.747111465960984
"Oriental-Asiático","Origin","Oriental-Asiático   ",-0.7079285153031003,-0.197975476475916
"CEIP Andalucía","Park_zone","CEIP Andalucía   ",-19.960585319498875,-10.216984925717574
"Otros-Ayto","Park_zone","Otros-Ayto   ",-6.699176965280411,10.990442751235681
"Maestranza-Ayto","Park_zone","Maestranza-Ayto   ",-15.345052900572654,0.42045478790494545
"Delicias-Ayto","Park_zone","Delicias-Ayto   ",5.7952894454661195,10.513690094445208
"Vega de Triana-Ayto","Park_zone","Vega de Triana-Ayto   ",-3.558233696953613,10.81090244562365
"Cortijo del Cuarto-Ayto","Park_zone","Cortijo del Cuarto-Ayto   ",19.318948125573275,3.329177737129637
"Ranillas-Ayto","Park_zone","Ranillas-Ayto   ",3.624204541798903,-10.71872611609911
"Murillo","Park_zone","Murillo   ",-8.863417333480873,-10.730501459870977
